"Ephemeris Data for Mercury Observations From Kitt Peak, AZ; McMath Observatory; All data for 20:00 UTC",,,,,,,,,,,,,,,,,
DateObs,Time,Sun_Data,Illum%,Def_illu,Ang-diam,Ob-lon,Ob-lat,Sl-lon,Sl-lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,True_Anom
1988-Oct-09,20:00,*m,0.965,10.0958,10.19418,347.02,5.53,176.87,-0.01,0.342960699,-9.2463719,0.659954286,1.2828665,3.8481,/T,168.7277,293.1887
1988-Oct-10,20:00,*m,0.308,10.1327,10.164,354.38,5.36,177.82,-0.01,0.337730591,-8.8508722,0.661913564,5.6791744,2.1462,/T,173.6417,298.3703
1988-Oct-11,20:00,*m,0.276,10.0668,10.09471,1.74,5.16,178.62,0,0.332754186,-8.3675732,0.666457208,10.2459318,2.008,/L,173.9699,303.7109
1988-Oct-12,20:00,*m,0.914,9.8955,9.98679,9.07,4.95,179.26,0,0.328082908,-7.7942192,0.6736592,14.896348,3.5914,/L,169.0228,309.2086
1988-Oct-13,20:00,*m,2.24,9.6219,9.842419,16.32,4.72,179.75,0,0.323769002,-7.1302807,0.683540586,19.5343577,5.5165,/L,162.7784,314.859
1988-Oct-14,20:00,*m,4.249,9.2547,9.665312,23.48,4.48,180.09,0.01,0.31986442,-6.3773526,0.696065727,24.0603002,7.4384,/L,156.2036,320.6546
1988-Oct-15,20:00,*m,6.908,8.8069,9.460407,30.51,4.23,180.3,0.01,0.316419491,-5.5395046,0.711141958,28.376976,9.2672,/L,149.5191,326.5849
1988-Oct-16,20:00,*m,10.161,8.2952,9.233439,37.38,3.98,180.39,0.01,0.31348141,-4.6235363,0.728622674,32.3953225,10.9606,/L,142.8174,332.6361
1988-Oct-17,20:00,*,13.935,7.7376,8.990474,44.08,3.73,180.37,0.02,0.311092629,-3.6390817,0.748313418,36.0390946,12.4933,/L,136.1557,338.7909
1988-Oct-18,20:00,*,18.141,7.1524,8.737487,50.6,3.48,180.27,0.02,0.309289233,-2.5985197,0.769980294,39.2481833,13.8497,/L,129.5763,345.0292
